Exchange,Name,Trading_symbol,isin
BSE,ASTRA MICROWAVE PRODUCTS LTD.,ASTRAMICRO,INE386C01029
BSE,ASTRAL LIMITED,ASTRAL,INE006I01046
BSE,ASTRAZENECA PHARMA INDIA LTD.,ASTRAZEN,INE203A01020
BSE,ATLANTAA LIMITED,ATLANTAA,INE285H01022
BSE,ATUL AUTO LTD.,ATULAUTO,INE951D01028
BSE,ATUL LTD.,ATUL,INE100A01010
BSE,AU Small Finance Bank Limited,AUBANK,INE949L01017
BSE,AURIONPRO SOLUTIONS LTD.,AURIONPRO,INE132H01018
BSE,AUROBINDO PHARMA LTD.,AUROPHARMA,INE406A01037
BSE,AUSOM ENTERPRISE LIMITED,AUSOMENT,INE218C01016
BSE,AUTOLINE INDUSTRIES LTD.,AUTOIND,INE718H01014
BSE,AUTOMOTIVE AXLES LTD.,AUTOAXLES,INE449A01011
BSE,AUTOMOTIVE STAMPINGS & ASSEMBL,ASAL,INE900C01027
BSE,AVADH SUGAR & ENERGY LIMITED,AVADHSUGAR,INE349W01017
BSE,AVANTI FEEDS LTD.,AVANTIFEED,INE871C01038
BSE,AVT NATURAL PRODUCTS LTD.,AVTNPL,INE488D01021
BSE,AXIS BANK LTD.,AXISBANK,INE238A01034
BSE,AXIS MUTUAL FUND - AXIS GOLD E,AXISGOLD,INF846K01W80
BSE,AXISCADES TECHNOLOGIES LIMITED,AXISCADES,INE555B01013
BSE,AYM Syntex Limited,AYMSYNTEX,INE193B01039
BSE,Aarti Surfactants Limited,AARTISURF,INE09EO01013
BSE,Adani Energy Solutions Limited,ADANIENSOL,INE931S01010
BSE,Adani Green Energy Limited,ADANIGREEN,INE364U01010
BSE,Aditya Birla Capital Ltd,ABCAPITAL,INE674K01013
BSE,Aditya Birla Fashion and Retai,ABFRL,INE647O01011
BSE,Aditya Birla Sun Life AMC Limi,ABSLAMC,INE404A01024
BSE,Aditya Birla Sun Life Mutual F,ABSLBANETF,INF209KB17D5
BSE,Aditya Birla Sun Life Mutual F,BSLGOLDETF,INF209KB18D3
BSE,Aditya Birla Sun Life Mutual F,BSLNIFTY,INF209KB19D1
BSE,Adroit Infotech Limited,ADROITINFO,INE737B01033
BSE,Advanced Enzyme Technologies L,ADVENZYMES,INE837H01020
BSE,Alkem Laboratories Limited,ALKEM,INE540L01014
BSE,Alldigi Tech Limited,ALLDIGI,INE835G01018
BSE,Amber Enterprises India Limite,AMBER,INE371P01015
BSE,Amic Forging Limited,AMIC,INE0P9J01013
BSE,Antelopus Selan Energy Limited,ANTELOPUS,INE818A01017
BSE,Antony Waste Handling Cell Lim,AWHCL,INE01BK01022
BSE,Anupam Rasayan India Limited,ANURAS,INE930P01018
BSE,Apex Frozen Foods Limited,APEX,INE346W01013
BSE,Apollo Micro Systems Limited,APOLLO,INE713T01028
BSE,Aptus Value Housing Finance In,APTUS,INE852O01025
BSE,Arrow Greentech Limited,ARROWGREEN,INE570D01018
BSE,Arrowhead Seperation Engineeri,ARROWHEAD,INE0PP401015
BSE,Artemis Medicare Services Limi,ARTEMISMED,INE025R01021
BSE,Arvind Fashions Limited,ARVINDFASN,INE955V01021
BSE,Arvind SmartSpaces Limited,ARVSMART,INE034S01021
BSE,Aster DM Healthcare Limited,ASTERDM,INE914M01019
BSE,Astron Paper & Board Mill Limi,ASTRON,INE646X01014
BSE,Avenue Supermarts Limited,DMART,INE192R01011
BSE,Axis Mutual Fund,AXISTECETF,INF846K01Y96
BSE,B.C. POWER CONTROLS LTD,BCP,INE905P01028
BSE,B.L.KASHYAP AND SONS LTD.,BLKASHYAP,INE350H01032
BSE,BAJAJ CONSUMER CARE LIMITED,BAJAJCON,INE933K01021
BSE,BAJAJ ELECTRICALS LTD.,BAJAJELEC,INE193E01025
BSE,BAJAJ FINSERV LTD.,BAJAJFINSV,INE918I01026
BSE,BAJAJ HINDUSTHAN SUGAR LIMITED,BAJAJHIND,INE306A01021
BSE,BAJAJ HOLDINGS & INVESTMENT LT,BAJAJHLDNG,INE118A01012
BSE,BALAJI AMINES LTD.,BALAMINES,INE050E01027
BSE,BALAJI TELEFILMS LTD.,BALAJITELE,INE794B01026
BSE,BALKRISHNA INDUSTRIES LTD.,BALKRISIND,INE787D01026
BSE,BALMER LAWRIE & CO.LTD.,BALMLAWRIE,INE164A01016
BSE,BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN,INE119A01028
BSE,BANARAS BEADS LTD.,BANARBEADS,INE655B01011
BSE,BANCO PRODUCTS (INDIA) LTD.,BANCOINDIA,INE213C01025
BSE,BANG OVERSEAS LTD.,BANG,INE863I01016
BSE,BANK OF BARODA,BANKBARODA,INE028A01039
BSE,BANK OF INDIA,BANKINDIA,INE084A01016
BSE,BANK OF MAHARASHTRA,MAHABANK,INE457A01014
BSE,BANNARI AMMAN SPINNING MILLS L,BASML,INE186H01022
BSE,BANNARI AMMAN SUGARS LTD.,BANARISUG,INE459A01010
BSE,BANSWARA SYNTEX LTD.,BANSWRAS,INE629D01020
BSE,BASF INDIA LTD.,BASF,INE373A01013
BSE,BATA INDIA LTD.,BATAINDIA,INE176A01028
BSE,BATLIBOI LTD.,BATLIBOI,INE177C01022
BSE,BAYER CROPSCIENCE LTD.,BAYERCROP,INE462A01022
BSE,BEDMUTHA INDUSTRIES LTD.,BEDMUTHA,INE844K01012
BSE,BERGER PAINTS INDIA LTD.,BERGEPAINT,INE463A01038
